Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.79,Alfred A. Knopf,Hardcover,303,2021,2021,,2022/04/02,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
6443834,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,"Murakami, Haruki",村上 春樹,"=""4103534222""","=""9784103534228""",0,4.01,Shinchosha/Tsai Fong Books,Hardcover,554,2009,2009,,2022/03/15,to-read,to-read (#154),to-read,,,,0,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",3,4.03,Vintage Books,Paperback,296,2000,1987,2022/03/15,2016/02/23,,,read,,,,1,,,0,,,,,
179133,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,"Evans, Eric",,"=""0321125215""","=""9780321125217""",0,4.16,Addison-Wesley Professional,Hardcover,560,2003,2003,,2022/01/10,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
22512931,Building Microservices: Designing Fine-Grained Systems,Sam Newman,"Newman, Sam",,"=""1491950358""","=""9781491950357""",4,4.20,O'Reilly Media,Paperback,262,2015,2014,2022/01/05,2021/11/10,,,read,,,,1,,,0,,,,,
39793332,Designing Event-Driven Systems,Ben Stopford,"Stopford, Ben",,"=""""","=""9781492038221""",3,3.84,O'Reilly Media,ebook,166,2018,,2021/12/15,2021/11/26,,,read,,,,1,,,0,,,,,
58128,Head First Design Patterns,Eric Freeman,"Freeman, Eric","Kathy Sierra, Bert Bates, Elisabeth Robson","=""0596007124""","=""9780596007126""",2,4.29,O'Reilly Media,Paperback,638,2004,2004,2021/11/10,2021/10/23,,,read,,,,1,,,0,,,,,
10507,Baudolino,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156029065""","=""9780156029063""",3,3.77,"Harcourt, Inc.",Paperback,527,2003,2000,2021/10/23,2018/12/30,,,read,,,,1,,,0,,,,,
28923,When We Were Orphans,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571225403""","=""9780571225408""",3,3.52,Faber & Faber,Paperback,320,2007,,,2019/06/18,,,read,,,,1,,,0,,,,,
30976848,Bella Germania,Daniel Speck,"Speck, Daniel",,"=""3596295963""","=""9783596295968""",0,4.20,Fischer,Paperback,624,2016,2016,,2021/04/30,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",نجف دریابندری,"=""""","=""""",5,4.14,Faber & Faber,Paperback,258,2005,1989,2021/04/23,2017/10/06,,,read,,,,1,,,0,,,,,
11566,The Green Mile,Stephen King,"King, Stephen",,"=""0451933028""","=""9780451933027""",4,4.46,Penguin Signet,Paperback,592,1996,1996,2021/04/02,2021/03/17,,,read,,,,1,,,0,,,,,
24959245,Господин из Сан-Франциско,Ivan Alekseyevich Bunin,"Bunin, Ivan Alekseyevich",Иван Алексеевич Бунин,"=""""","=""""",2,3.64,Общественное достояние,Kindle Edition,23,,1915,,2021/03/19,,,read,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",Prottasha Prachurjo Sayed Fayej Ahmed,"=""""","=""""",4,4.39,Vintage,Paperback,512,2015,2011,2021/03/17,2018/08/18,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.48,Scholastic Inc,Hardcover,309,2003,1997,,2020/05/26,,,read,,,,1,,,0,,,,,
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",4,3.55,Alfred A. Knopf,Hardcover,317,2015,2015,,2017/10/06,,,read,,,,1,,,0,,,,,
25767311,Доктор Живаго,Boris Pasternak,"Pasternak, Boris",Борис Пастернак,"=""""","=""9785080050824""",3,4.01,,,606,2013,1957,,2016/09/21,,,read,,,,1,,,0,,,,,
39907554,Воспоминания великого князя Александра Михайловича Романова,Александр Романов,"Романов, Александр",,"=""""","=""9785496014007""",3,4.78,Питер,Hardcover,320,2015,,2020/06/09,2020/06/06,,,read,,,,1,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",0,3.88,Penguin Books,Paperback,112,2002,1937,,2020/05/26,to-read,to-read (#153),to-read,,,,0,,,0,,,,,
1168487,Der Schwarm,Frank Schätzing,"Schätzing, Frank",,"=""3596164532""","=""9783596164530""",0,4.08,Fischer Taschenbuch Verlag,Paperback,987,2005,2004,,2020/05/26,to-read,to-read (#152),to-read,,,,0,,,0,,,,,
672948,Arch of Triumph: A Novel of a Man Without a Country,Erich Maria Remarque,"Remarque, Erich Maria",,"=""""","=""""",4,4.42,Random House Trade Paperbacks,Paperback,464,1998,1945,,2013/05/29,,,read,,,,1,,,0,,,,,
4511169,Обитаемый остров,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Аркадий Стругацкий, Борис Стругацкий","=""5170409583""","=""9785170409587""",3,4.27,АСТ,Hardcover,416,2008,1967,,2010/08/26,,,read,,,,1,,,0,,,,,
8253920,"Towers of Midnight (The Wheel of Time, #13)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325942""","=""9780765325945""",3,4.44,Tom Doherty Associates TOR Fantasy,Hardcover,863,2010,2010,,2013/05/19,,,read,,,,1,,,0,,,,,
5948498,Отягощенные злом,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Аркадий Стругацкий, Борис Стругацкий","=""""","=""""",3,4.15,"ИД ""Равновесие""",Audio CD,,,1988,,2013/02/12,,,read,,,,1,,,0,,,,,
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Theodore Sturgeon, Antonina W. Bouis","=""0575070536""","=""9780575070530""",4,4.16,Gollancz,Paperback,145,2000,1972,,2010/08/26,,,read,,,,1,,,0,,,,,
5948515,Хромая судьба,Arkady Strugatsky,"Strugatsky, Arkady",Boris Strugatsky,"=""""","=""""",4,4.16,"ИД ""Равновесие""",Audio CD,,,1986,,2013/02/12,,,read,,,,1,,,0,,,,,
